Question,Answers,Explanation,Level
Which acid produces chloride salts?,hydrochloric acid,,1
Which acid produces sulfate salts?,sulfuric acid,,1
Which acid produces nitrate salts?,nitric acid,,1
What salt is formed when hydrochloric acid reacts with magnesium?,magnesium chloride,,2
What salt is formed when hydrochloric acid reacts with sodium hydroxide?,sodium chloride,,2
What salt is formed when hydrochloric acid reacts with copper oxide?,copper chloride,,2
What salt is formed when sulfuric acid reacts with magnesium?,magnesium sulfate,,2
What salt is formed when sulfuric acid reacts with potassium hydroxide?,potassium sulfate,,2
What salt is formed when sulfuric acid reacts with zinc oxide?,zinc sulfate,,2
What salt is formed when nitric acid reacts with magnesium?,magnesium nitrate,,2
What salt is formed when nitric acid reacts with sodium hydroxide?,sodium nitrate,,2
What salt is formed when nitric acid reacts with copper oxide?,copper nitrate,,2
What salt is formed when hydrochloric acid reacts with calcium carbonate?,calcium chloride,,2
What salt is formed when sulfuric acid reacts with calcium carbonate?,calcium sulfate,,2
What salt is formed when nitric acid reacts with calcium carbonate?,calcium nitrate,,2
Which acid would you react with zinc to make zinc chloride?,hydrochloric acid,,3
Which acid would you react with copper oxide to make copper nitrate?,nitric acid,,3
Which acid would you react with potassium hydroxide to make potassium sulfate?,sulfuric acid,,3
