Question,Answers,Explanation,Level
What is the chemical formula for hydrochloric acid?,HCl,,1
What is the chemical formula for sulfuric acid?,H2SO4,,1
What is the chemical formula for nitric acid?,HNO3,,1
What is the chemical formula for sodium hydroxide?,NaOH,,1
What is the chemical formula for potassium hydroxide?,KOH,,1
What is the chemical formula for ammonia?,NH3,,1
What is the chemical formula for water?,H2O,,1
What is the chemical formula for carbon dioxide?,CO2,,1
What is the chemical formula for sodium chloride (table salt)?,NaCl,,1
What is the chemical formula for oxygen gas?,O2,,1
What is the chemical formula for hydrogen gas?,H2,,1
What compound has the formula HCl?,hydrochloric acid,,1
What compound has the formula H2SO4?,sulfuric acid,,1
What compound has the formula HNO3?,nitric acid,,1
What compound has the formula NaOH?,sodium hydroxide,,1
What compound has the formula NH3?,ammonia,,1
What compound has the formula CO2?,carbon dioxide,,1
What compound has the formula NaCl?,sodium chloride|table salt,,1
What compound has the formula KOH?,potassium hydroxide,,1
What compound has the formula H2O?,water,,1
What compound has the formula O2?,oxygen gas,,1
What compound has the formula H2?,hydrogen gas,,1
