Question,Answers,Explanation,Level
What do we call the substances present at the start of a chemical reaction?,reactants|reactant,Reactants are the starting substances; they appear on the left of the arrow.,1
What do we call the substances made at the end of a chemical reaction?,products|product,Products appear on the right of the arrow.,1
What is an alkali?,a base that dissolves in water|a soluble base,"Every alkali is a base, but not every base is an alkali - alkali just means it dissolves in water.",2
True or false: alkali and base mean exactly the same thing.,false,An alkali is specifically a base that dissolves in water - the terms are related but not identical.,2
What scale is used to classify a substance as acidic, neutral or alkaline?,pH|pH scale,,1
On the pH scale, what pH value counts as neutral?,7,,1
On the pH scale, does a pH below 7 mean acidic or alkaline?,acidic,,1
On the pH scale, does a pH above 7 mean acidic or alkaline?,alkaline,,1
True or false: a higher pH number means a substance is more acidic.,false,A higher pH means more alkaline - a lower pH means more acidic.,2
What do we call a substance that changes colour to show whether something is acidic, neutral or alkaline?,indicator,,1
Name two common indicators used to test pH.,litmus and universal indicator|universal indicator and litmus,,1
What colour does universal indicator turn in a strongly acidic solution?,red,,1
What colour does universal indicator turn in a neutral solution?,green,,1
What colour does universal indicator turn in a strongly alkaline solution?,purple,,1
What does litmus paper turn in an acid?,red,,1
What does litmus paper turn in an alkali?,blue,,1
What word describes a substance that can cause chemical burns and needs careful handling?,corrosive,,1
What is neutralisation?,when an acid and a base react to cancel out each other's properties|acid reacts with base,,1
What are the products of a neutralisation reaction (acid + base)?,salt and water|salt + water,,1
Complete the word equation: acid + base -> ___ + ___,salt and water|salt + water,,1
What generally happens to the pH of an acidic solution as a base is added to neutralise it?,it rises towards 7|it increases towards neutral,,2
True or false: neutralising an acid always produces table salt.,false,"""Salt"" in chemistry means any ionic compound formed from an acid - table salt (sodium chloride) is just one example.",2
True or false: after neutralisation the pH always becomes exactly 7.,false,It depends on the amounts used - the solution just moves towards 7, it won't necessarily land exactly on it.,2
Which salt is formed when hydrochloric acid reacts with a base?,a chloride,Hydrochloric acid produces chloride salts.,2
Which salt is formed when sulfuric acid reacts with a base?,a sulfate,Sulfuric acid produces sulfate salts.,2
Which salt is formed when nitric acid reacts with a base?,a nitrate,Nitric acid produces nitrate salts.,2
What salt is formed when hydrochloric acid reacts with magnesium?,magnesium chloride,,2
What salt is formed when sulfuric acid reacts with copper (or copper oxide)?,copper sulfate,,2
What salt is formed when nitric acid reacts with potassium (or a potassium compound)?,potassium nitrate,,2
Complete the word equation: acid + metal -> ___ + ___,salt and hydrogen|salt + hydrogen,,1
What gas is produced when an acid reacts with a metal?,hydrogen,,1
What is the test for hydrogen gas?,a lit/burning splint makes a squeaky pop|glowing splint pops|squeaky pop test,A burning splint held at the mouth of the test tube makes a squeaky pop if hydrogen is present.,2
True or false: all bubbles produced in an acid reaction are hydrogen gas.,false,Bubbles could be hydrogen (acid + metal) or carbon dioxide (acid + carbonate) - you need a gas test to tell which.,2
True or false: all metals react with acid at the same rate.,false,Different metals react at different rates - some barely react at all (e.g. copper).,2
Complete the word equation: acid + metal carbonate -> ___ + ___ + ___,salt and water and carbon dioxide|salt + water + carbon dioxide,,1
What gas is produced when an acid reacts with a metal carbonate?,carbon dioxide,,1
What is the test for carbon dioxide gas?,it turns limewater cloudy|limewater goes cloudy|bubble it through limewater,,1
What salt is formed when hydrochloric acid reacts with calcium carbonate?,calcium chloride,,2
What salt is formed when hydrochloric acid reacts with sodium hydrogen carbonate?,sodium chloride,,2
True or false: an acid + carbonate reaction produces water as one of the products.,true,Students often forget this - the products are salt, water AND carbon dioxide.,2
What do all three acid reaction patterns (acid+base, acid+metal, acid+carbonate) have in common as a product?,a salt|salt,,2
Which of the three acid reaction patterns does NOT produce water as a product?,acid + metal,Acid + metal produces salt and hydrogen only - no water.,3
Which of the three acid reaction patterns produces hydrogen gas?,acid + metal,,2
Which of the three acid reaction patterns produces carbon dioxide gas?,acid + metal carbonate|acid + carbonate,,2
Name a common household acid.,vinegar|lemon juice|stomach acid|citric acid,,1
Name a common household base or alkali.,soap|baking soda|toothpaste|sodium bicarbonate,,1
Why are antacid tablets used to treat indigestion?,they neutralise excess stomach acid|neutralise the acid in your stomach,,2
Why is limestone/marble affected by acid rain?,acid rain reacts with (neutralises) the calcium carbonate in limestone,Limestone is calcium carbonate, which reacts with acids.,2
True or false: neutral means that nothing is present in a solution.,false,Neutral just means the pH is 7 - a balance of acidity and alkalinity - the solution can still contain lots of dissolved substances.,2
True or false: all acids are dangerous and all bases are safe.,false,Some acids and bases are very mild (like vinegar or soap) while some of each can be highly corrosive (like concentrated sulfuric acid or concentrated sodium hydroxide).,2
