Question,Answers,Explanation,Level,Options
acid + base -> salt + ___,water|H2O,,1,
acid + ___ -> salt + water,base,,1,
___ + base -> salt + water,acid,,1,
acid + base -> ___ + water,salt,,1,
acid + metal -> salt + ___,hydrogen|hydrogen gas|H2,,1,
acid + ___ -> salt + hydrogen,metal,,1,
___ + acid -> salt + hydrogen,metal,,1,
acid + metal -> ___ + hydrogen,salt,,1,
metal + acid -> salt + ___,hydrogen|hydrogen gas|H2,,1,
metal + ___ -> salt + hydrogen,acid,,1,
___ + acid -> salt + hydrogen gas,metal,,1,
metal carbonate + acid -> salt + water + ___,carbon dioxide|CO2,,1,
metal carbonate + acid -> salt + ___ + carbon dioxide,water|H2O,,1,
___ + acid -> salt + water + carbon dioxide,metal carbonate,,1,
metal carbonate + ___ -> salt + water + carbon dioxide,acid,,1,
acid + metal carbonate -> ___ + water + carbon dioxide,salt,,1,
acid + metal carbonate -> salt + water + ___,carbon dioxide|CO2,,1,
acid + ___ -> salt + water + carbon dioxide,metal carbonate,,1,
___ carbonate + acid -> salt + water + carbon dioxide,metal,,1,
base + acid -> salt + ___,water|H2O,,1,
metal + acid -> ___ + hydrogen,salt,,1,
metal carbonate + acid -> ___ + water + carbon dioxide,salt,,1,
hydrogen gas test: lit splint -> ___,squeaky pop,,1,squeaky pop|it glows red|it pops with a colour change|it turns damp litmus paper blue
carbon dioxide gas test: bubble through limewater -> ___,milky/cloudy|milky|cloudy,,1,milky/cloudy|it turns bright pink|it stays clear but bubbles stop|it turns blue-black
squeaky pop with a lit splint = positive test for ___,hydrogen|hydrogen gas|H2,,1,
limewater turning milky/cloudy = positive test for ___,carbon dioxide|CO2,,1,
What is the test for hydrogen gas?,pop test|squeaky pop test|squeaky pop|the pop test|squeaky pop with a lit splint|lit splint - squeaky pop,,1,
"What are the tests for carbon dioxide gas?",limewater + extinguish splint|limewater and extinguish splint|limewater turns milky and extinguishes a lit splint|extinguishes a lit splint and turns limewater milky|limewater goes cloudy and puts out a lit splint|puts out a lit splint and limewater goes cloudy|limewater turns milky/cloudy and puts out a flame|puts out a flame and limewater turns milky/cloudy|extinguishes a flame and limewater goes milky|limewater goes milky and extinguishes a flame|turns limewater milky and puts out a lit splint|puts out a lit splint and turns limewater milky|limewater cloudy and splint goes out|splint goes out and limewater goes cloudy|extinguishes a burning splint and turns limewater cloudy|turns limewater cloudy and extinguishes a burning splint|limewater goes milky/cloudy and a lit splint is extinguished|a lit splint is extinguished and limewater goes milky/cloudy,,1,
